IGM HI transmissions exp(-tau) (HeI and HeII not included!). Please
reference: Meiksin A., 2005, MNRAS, 365, 807 in any publications using these results.
-------------------------------------------------------------------------------------
lam (A)  z=1.5    z=2.0    z=2.5    z=3.0    z=3.5    z=4.0    z=4.5    z=5.0    z=5.5    z=6.0    z=6.5    z=7.0
1823.0 0.357200 0.152891 0.070925 0.034465 0.017238 0.008787 0.004537 0.002364 0.001240 0.000654 0.000346 0.000183
1824.0 0.357642 0.152943 0.070895 0.034427 0.017208 0.008766 0.004524 0.002356 0.001235 0.000651 0.000344 0.000182
1825.0 0.358086 0.152995 0.070865 0.034389 0.017179 0.008746 0.004511 0.002348 0.001230 0.000648 0.000342 0.000181
1826.0 0.358532 0.153047 0.070835 0.034352 0.017149 0.008726 0.004498 0.002340 0.001225 0.000645 0.000341 0.000180
1827.0 0.358980 0.153100 0.070806 0.034314 0.017120 0.008705 0.004485 0.002332 0.001220 0.000642 0.000339 0.000179
1828.0 0.359430 0.153153 0.070776 0.034277 0.017090 0.008685 0.004472 0.002324 0.001216 0.000639 0.000337 0.000178
1829.0 0.359881 0.153206 0.070747 0.034239 0.017061 0.008665 0.004459 0.002316 0.001211 0.000636 0.000335 0.000177
1830.0 0.360335 0.153261 0.070718 0.034202 0.017032 0.008645 0.004446 0.002308 0.001206 0.000633 0.000334 0.000176
1831.0 0.360790 0.153315 0.070690 0.034165 0.017002 0.008625 0.004433 0.002300 0.001201 0.000630 0.000332 0.000175
1832.0 0.361247 0.153370 0.070661 0.034128 0.016973 0.008605 0.004420 0.002292 0.001196 0.000627 0.000330 0.000174
1833.0 0.361706 0.153426 0.070633 0.034091 0.016944 0.008585 0.004408 0.002284 0.001191 0.000625 0.000329 0.000173
1834.0 0.362167 0.153482 0.070605 0.034054 0.016915 0.008566 0.004395 0.002276 0.001187 0.000622 0.000327 0.000173
1835.0 0.362629 0.153538 0.070577 0.034018 0.016886 0.008546 0.004382 0.002268 0.001182 0.000619 0.000325 0.000172
1836.0 0.363094 0.153595 0.070549 0.033981 0.016858 0.008526 0.004370 0.002260 0.001177 0.000616 0.000324 0.000171
1837.0 0.363560 0.153653 0.070522 0.033945 0.016829 0.008506 0.004357 0.002253 0.001173 0.000613 0.000322 0.000170
1838.0 0.364029 0.153711 0.070494 0.033908 0.016800 0.008487 0.004345 0.002245 0.001168 0.000611 0.000321 0.000169
1839.0 0.364499 0.153769 0.070467 0.033872 0.016772 0.008467 0.004332 0.002237 0.001163 0.000608 0.000319 0.000168
1840.0 0.364971 0.153828 0.070440 0.033836 0.016743 0.008448 0.004320 0.002230 0.001159 0.000605 0.000317 0.000167
1841.0 0.365445 0.153887 0.070413 0.033800 0.016715 0.008429 0.004307 0.002222 0.001154 0.000602 0.000316 0.000166
1842.0 0.365921 0.153947 0.070386 0.033764 0.016686 0.008409 0.004295 0.002214 0.001149 0.000600 0.000314 0.000165
1843.0 0.366399 0.154007 0.070360 0.033728 0.016658 0.008390 0.004283 0.002207 0.001145 0.000597 0.000312 0.000164
1844.0 0.366879 0.154068 0.070334 0.033693 0.016630 0.008371 0.004270 0.002199 0.001140 0.000594 0.000311 0.000163
1845.0 0.367361 0.154129 0.070308 0.033657 0.016602 0.008352 0.004258 0.002192 0.001136 0.000592 0.000309 0.000162
1846.0 0.367845 0.154191 0.070282 0.033622 0.016574 0.008333 0.004246 0.002184 0.001131 0.000589 0.000308 0.000161
1847.0 0.368331 0.154253 0.070256 0.033586 0.016546 0.008314 0.004234 0.002177 0.001127 0.000586 0.000306 0.000160
1848.0 0.368818 0.154316 0.070231 0.033551 0.016518 0.008295 0.004222 0.002169 0.001122 0.000584 0.000305 0.000160
1849.0 0.369308 0.154379 0.070205 0.033516 0.016491 0.008276 0.004210 0.002162 0.001118 0.000581 0.000303 0.000159
1850.0 0.369800 0.154443 0.070180 0.033481 0.016463 0.008257 0.004198 0.002154 0.001113 0.000578 0.000302 0.000158
1851.0 0.370293 0.154507 0.070155 0.033446 0.016435 0.008238 0.004186 0.002147 0.001109 0.000576 0.000300 0.000157
1852.0 0.370789 0.154572 0.070130 0.033411 0.016408 0.008219 0.004174 0.002140 0.001105 0.000573 0.000299 0.000156
1853.0 0.371287 0.154637 0.070106 0.033377 0.016380 0.008201 0.004162 0.002132 0.001100 0.000571 0.000297 0.000155
1854.0 0.371786 0.154703 0.070082 0.033342 0.016353 0.008182 0.004150 0.002125 0.001096 0.000568 0.000296 0.000154
1855.0 0.372288 0.154769 0.070057 0.033308 0.016326 0.008163 0.004138 0.002118 0.001092 0.000565 0.000294 0.000153
1856.0 0.372792 0.154835 0.070033 0.033273 0.016298 0.008145 0.004126 0.002111 0.001087 0.000563 0.000293 0.000153
1857.0 0.373298 0.154902 0.070009 0.033239 0.016271 0.008126 0.004114 0.002103 0.001083 0.000560 0.000291 0.000152
1858.0 0.373806 0.154970 0.069986 0.033205 0.016244 0.008108 0.004103 0.002096 0.001079 0.000558 0.000290 0.000151
1859.0 0.374316 0.155038 0.069962 0.033171 0.016217 0.008090 0.004091 0.002089 0.001074 0.000555 0.000288 0.000150
1860.0 0.374827 0.155107 0.069939 0.033137 0.016190 0.008071 0.004079 0.002082 0.001070 0.000553 0.000287 0.000149
1861.0 0.375341 0.155176 0.069916 0.033103 0.016163 0.008053 0.004068 0.002075 0.001066 0.000550 0.000285 0.000148
1862.0 0.375858 0.155245 0.069893 0.033070 0.016137 0.008035 0.004056 0.002068 0.001062 0.000548 0.000284 0.000148
1863.0 0.376376 0.155315 0.069870 0.033036 0.016110 0.008017 0.004045 0.002061 0.001057 0.000545 0.000282 0.000147
